,NETWORTH,INCOME,FIN,NFIN,DEBT,EQUITY,STOCKS,HHOUSES,BUS,RETQLIQ,YESFINRISK,SPENDMOR,LATE,EMERGSAV,LIQ,FINLIT,AGE,EDUC,MARRIED,KIDS,OCCAT1,RET_ASSETS
19370,7480000.0,371833.66733,6083000,1913000.0,516000,4891000.0,4000000,1,0,1757000,0,5,0,0,326000,3,66,14,1,0,1,7840000
19375,3694800.0,218344.18838,973800,3286000.0,565000,783700.0,180000,1,687000,46000,1,2,0,1,48500,2,41,14,1,4,2,1019800
19380,642000.0,190240.48096,613000,29000.0,0,236150.0,0,0,0,259000,0,2,0,1,274000,3,35,13,1,0,1,872000
19385,645600.0,145923.09619,148000,801000.0,303400,80000.0,0,1,0,80000,0,5,0,1,68000,3,58,12,1,3,1,228000
19390,1740000.0,179431.36273,768000,972000.0,0,115000.0,15000,1,0,400000,0,4,0,0,126000,3,66,12,1,0,1,1168000
19395,92100.0,81068.386774,7900,240900.0,156700,800.0,0,1,2000,5000,0,1,1,0,2900,1,40,9,1,1,1,12900
19400,8600.0,25941.883768,200,8400.0,0,0.0,0,0,0,0,0,1,0,0,200,2,57,10,1,0,2,200
19405,393380.0,56034.468938,154580,248000.0,9200,90800.0,0,1,0,152000,0,2,0,0,2580,3,72,8,2,0,2,306580
19410,4700.0,48641.032064,200,5100.0,600,0.0,0,0,0,0,0,5,1,0,200,1,46,8,2,0,1,200
19415,292000.0,169703.15631,111700,405300.0,225000,33035.0,0,1,0,75700,0,4,0,0,36000,2,47,8,1,0,1,187400
19420,3883500.0,259418.83768,2121500,2451000.0,689000,1660000.0,700000,1,1100000,1200000,0,4,0,0,149500,3,62,13,1,1,2,3321500
19425,178730.0,72421.092184,3700,331800.0,156770,0.0,0,1,0,0,0,5,0,0,3700,3,48,12,1,0,1,3700
19430,86400.0,45398.296593,80500,5900.0,0,16000.0,0,0,0,80000,0,5,0,0,500,2,60,9,2,1,1,160500
19435,7266001.0,623686.12224,6332001,1054000.0,120000,6230001.0,5210000,1,0,1020001,0,5,0,1,87000,3,80,14,2,0,2,7352002
19440,220000.0,145923.09619,110000,257000.0,147000,0.0,0,1,0,0,0,2,0,1,30000,3,39,8,1,2,1,110000
19445,10168000.0,954445.14028,413000,10105000.0,350000,108550.0,15000,1,9300000,67000,0,2,0,1,261000,2,39,12,1,3,2,480000
